"date","Avg Air Temp (˚F)","Max Air Temp (˚F)","Min Air Temp (˚F)","Total Precipitation","Leaf Wetness (hrs)","Relative Humidity (hrs >= 90)","Solar Radiation (langleys)","Avg Wind Speed (mph)","Avg Soil Temp (˚F)","Avg Soil Moisture (m3/m3)"
"05/26/2022","67.5","77.5","57.4","0","0","0","619","5.6","65.5","0.3"
"05/27/2022","68.1","72.9","63.3","0.07","8","5","225","4","66.3","0.3"
"05/28/2022","60.0","67.8","52.3","0.35","17","15","302","2.3","65.7","0.3"
"05/29/2022","62.8","78.1","47.5","0","10","10","640","1.5","64.9","0.3"
"05/30/2022","71.3","88.5","54.1","0","7","4","603","2.8","68","0.3"
"05/31/2022","74.4","88.2","60.6","0","9","5","583","2.4","69.2","0.3"
"06/01/2022","73.4","82.4","64.4","0.25","8","5","404","2.4","70.1","0.3"
"06/02/2022","68.1","74.1","62.1","0.02","10","6","527","2.2","70.3","0.3"
"06/03/2022","63.0","73.2","52.7","0","8","2","723","3.1","69.1","0.3"
"06/04/2022","58.0","69.3","46.6","0","4","0","754","3.6","67.1","0.3"
"06/05/2022","59.4","77.7","41","0","8","1","720","2","65","0.3"
"06/06/2022","70.3","80.8","59.9","0","0","0","576","2.9","66.6","0.3"
"06/07/2022","67.1","69.4","64.8","0.19","11","9","172","3.4","66.2","0.2"
"06/08/2022","64.2","76.5","51.8","0.07","9","7","580","2.2","65.6","0.2"
"06/09/2022","60.1","63.5","56.8","0.93","15","11","203","3.2","64.7","0.3"
"06/10/2022","61.5","72","51.1","0","9","4","635","3.2","63.8","0.3"
"06/11/2022","61.1","74.5","47.7","0","12","7","436","1.6","63.4","0.3"
"06/12/2022","66.4","75.4","57.4","0","6","0","395","2.3","63.8","0.3"
"06/13/2022","65.2","75.4","54.9","0","11","10","614","2.7","65.2","0.3"
"06/14/2022","65.5","77.2","53.8","0","8","2","715","2.8","65.8","0.3"
"06/15/2022","69.0","85.8","52.2","0","8","5","645","2.2","66.3","0.2"
"06/16/2022","74.8","83.8","65.7","1.06","9","4","564","3.6","68.8","0.3"
"06/17/2022","73.4","79","67.8","0","6","0","538","5.6","69.5","0.3"
"06/18/2022","56.4","63","49.8","0.06","9","6","310","6.3","66.1","0.3"
"06/19/2022","55.9","64","47.7","0","0","0","712","5.3","63.3","0.3"
"06/20/2022","57.9","74.3","41.5","0","8","3","742","2.8","62.9","0.2"
"06/21/2022","68.1","85.8","50.4","0","4","0","490","2.4","64.1","0.2"
"06/22/2022","76.8","88.2","65.3","0.01","3","0","556","2.8","67.1","0.2"
"06/23/2022","68.7","75.4","61.9","0.31","9","10","407","2.7","67.7","0.2"
"06/24/2022","70.7","83.3","58.1","0","8","6","735","2","67.8","0.2"
"06/25/2022","72.4","90.3","54.5","0","8","6","719","1.7","68.8","0.2"
"06/26/2022","78.6","90.1","67.1","0.97","6","7","574","2.7","70.4","0.2"
"06/27/2022","68.9","76.1","61.7","0.19","9","9","633","4.1","70.9","0.3"
"06/28/2022","63.3","75.9","50.7","0","4","1","761","2.3","69.1","0.3"
"06/29/2022","64.6","79","50.2","0","10","6","541","2.2","68.2","0.2"
"06/30/2022","69.8","86.4","53.1","0","8","7","704","1.9","68.6","0.2"
"07/01/2022","77.3","89.8","64.8","0","3","0","479","3","69.9","0.2"
"07/02/2022","70.9","80.6","61.2","0.11","11","9","552","2.4","70.6","0.2"
"07/03/2022","66.4","77","55.8","0","3","2","736","3.7","69.8","0.2"
"07/04/2022","65.9","82.2","49.6","0","4","0","689","2.2","68.9","0.2"
"07/05/2022","71.8","78.6","64.9","0.03","6","0","188","2.4","69.5","0.2"
"07/06/2022","68.8","76.1","61.5","0","5","0","447","4","69.6","0.2"
"07/07/2022","69.8","83.7","55.8","0","10","10","610","2","69.7","0.2"
"07/08/2022","70.4","82.6","58.3","0","7","4","606","2.7","70.6","0.2"
"07/09/2022","64.8","75.6","54","0","8","5","699","3.2","70.7","0.1"
"07/10/2022","64.3","82.4","46.2","0","9","6","673","2","69","0.1"
"07/11/2022","70.4","89.1","51.8","0","6","0","634","3.3","69.6","0.1"
"07/12/2022","76.7","89.4","64","0","3","0","596","5.3","71.5","0.1"
"07/13/2022","69.3","80.6","58.1","0.01","14","5","442","1.8","70.7","0.1"
"07/14/2022","68.1","78.8","57.4","0","9","8","564","2.8","70.5","0.1"
"07/15/2022","66.8","85.1","48.4","0","7","4","705","2.5","69.9","0.1"
"07/16/2022","71.8","86.7","56.8","0","9","0","421","1.8","70.3","0.1"
"07/17/2022","76.2","88.7","63.7","0","8","1","536","2.4","71.2","0.1"
"07/18/2022","72.9","78.3","67.6","0.32","18","9","186","3.1","71.4","0.1"
"07/19/2022","78.8","90.3","67.3","0","4","1","616","3.2","71.9","0.1"
"07/20/2022","81.8","93.7","69.8","0","3","1","569","2.9","73.9","0.1"
"07/21/2022","79.8","87.3","72.3","0","0","0","512","4.9","74","0.1"
"07/22/2022","77.3","89.8","64.8","0.06","13","2","494","2.4","73.1","0.1"
"07/23/2022","78.3","93.4","63.1","0","8","7","572","3.1","72.9","0.1"
"07/24/2022","80.1","93.4","66.7","0.55","3","1","405","2.9","72.8","0.1"
"07/25/2022","72.8","82.6","63","0.54","8","6","609","3.9","73.4","0.2"
"07/26/2022","66.4","79.7","53.1","0","10","6","481","1.6","71.3","0.2"
"07/27/2022","69.8","84.2","55.4","0","8","5","478","2.1","70.6","0.2"
"07/28/2022","75.2","86.2","64.2","0.02","8","2","487","2.3","72.3","0.2"
"07/29/2022","71.1","82.4","59.7","0","2","0","637","3","72","0.1"
"07/30/2022","67.1","78.3","55.9","0","8","1","625","3.9","71.3","0.1"
"07/31/2022","68.5","82.4","54.5","0","9","8","477","1.7","70.6","0.1"
"08/01/2022","73.7","86.5","60.8","0","7","2","608","3","71.5","0.1"
"08/02/2022","73.8","81.5","66.2","0","2","0","506","3.4","72.6","0.1"
"08/03/2022","73.8","91.6","56.1","0","9","8","648","2.4","72.3","0.1"
"08/04/2022","77.9","87.8","68","1.16","9","9","256","1.7","72.8","0.2"
"08/05/2022","78.3","88.3","68.4","0.91","16","17","380","1","73.2","0.2"
"08/06/2022","78.6","89.6","67.6","0","12","10","546","2.5","74.3","0.3"
"08/07/2022","81.3","90","72.5","0","6","8","481","2","75.8","0.2"
"08/08/2022","81.0","89.1","73","0","2","2","372","3.6","75.8","0.2"
"08/09/2022","73.2","80.1","66.2","0.09","7","5","312","3.8","74.8","0.2"
"08/10/2022","68.3","77.5","59.2","0","8","6","395","1.3","73","0.2"
"08/11/2022","67.3","78.4","56.1","0","9","8","587","3.5","72","0.2"
"08/12/2022","62.2","73.2","51.1","0","10","5","645","3.4","70.3","0.2"
"08/13/2022","61.5","77.4","45.5","0","10","6","661","2.6","68.8","0.2"
"08/14/2022","65.8","82.4","49.3","0","9","5","551","2.6","68.9","0.2"
"08/15/2022","67.8","82.6","53.1","0","4","2","416","1.6","69.2","0.1"
"08/16/2022","66.4","74.7","58.1","0.08","15","8","276","1.5","69.1","0.1"
"08/17/2022","67.1","78.8","55.4","0.2","18","15","334","1.6","68.3","0.1"
"08/18/2022","66.4","80.6","52.3","0.01","15","12","518","1.1","68.1","0.1"
"08/19/2022","70.5","84.9","56.1","0","9","9","611","2.2","69","0.1"
"08/20/2022","71.6","86.4","56.7","0.16","16","9","493","2.1","69.8","0.1"
"08/21/2022","74.2","83.5","64.9","0.12","10","4","367","2.5","70.6","0.1"
"08/22/2022","70.6","77.5","63.7","0.77","15","13","304","1.7","70.5","0.2"
"08/23/2022","68.0","74.1","61.9","0.52","20","19","302","1.8","70.4","0.2"
"08/24/2022","70.0","81.7","58.3","0","12","10","582","2","70.2","0.3"
"08/25/2022","70.1","83.5","56.7","0","10","10","515","1.7","70.4","0.2"
"08/26/2022","72.5","81.7","63.3","0","12","5","334","2.3","70.9","0.2"
"08/27/2022","69.3","77.5","61.2","0","10","10","500","2.6","70.6","0.2"
"08/28/2022","70.0","86.9","53.1","0","10","10","531","1.9","69.8","0.2"
"08/29/2022","79.8","90.1","69.6","0.13","10","5","494","3.4","71.3","0.2"
"08/30/2022","71.8","81","62.6","0.51","10","7","212","2.2","71.5","0.2"
"08/31/2022","69.3","77.9","60.8","0","9","9","490","3.7","69.9","0.2"
"09/01/2022","61.2","70.2","52.2","0.05","3","0","564","4.4","68.7","0.2"
"09/02/2022","63.7","81","46.4","0","10","8","567","1.7","66.8","0.2"
"09/03/2022","72.3","83.3","61.3","0","0","0","416","2.3","67.6","0.2"
"09/04/2022","71.4","78.8","64","0.02","19","11","274","2.4","69.1","0.2"
"09/05/2022","66.5","69.6","63.5","1.57","24","24","69","1","68.7","0.2"
"09/06/2022","66.0","68","64","0.32","24","24","101","2.9","68.7","0.3"
"09/07/2022","66.8","70.5","63.1","0.47","19","20","210","1.1","68.6","0.3"
"09/08/2022","68.8","75.6","62.1","0.08","17","16","382","1.2","69.1","0.3"
"09/09/2022","69.0","83.1","55","0","13","12","490","1.2","68.9","0.3"
"09/10/2022","69.3","79.7","58.8","0","8","3","459","1.8","68.4","0.3"
"09/11/2022","66.0","68.9","63.1","0.17","18","11","138","1.2","68.5","0.3"
"09/12/2022","71.0","78.1","63.9","0.11","17","18","249","1.5","68.9","0.3"
"09/13/2022","62.3","71.8","52.9","1.01","19","19","279","1.8","68.8","0.3"
"09/14/2022","62.6","75.6","49.6","0","10","10","317","1.8","66.4","0.4"
"09/15/2022","54.6","63.7","45.5","0","5","1","477","2.3","65.8","0.3"
"09/16/2022","55.9","71.1","40.8","0","11","11","336","0.7","63.2","0.3"
"09/17/2022","67.4","80.1","54.7","0","9","8","442","0.5","64.4","0.3"
"09/18/2022","71.7","81.1","62.2","0","10","2","307","1.6","65.6","0.3"
"09/19/2022","66.7","71.8","61.5","0.64","20","8","143","0.9","66.2","0.3"
"09/20/2022","62.5","68.9","56.1","0.02","15","9","192","1.3","65.9","0.4"
"09/21/2022","66.8","79.9","53.6","0","11","11","398","1.9","65","0.3"
"09/22/2022","59.6","70.5","48.7","0.51","18","7","222","5.4","65.5","0.4"
"09/23/2022","43.7","49.3","38.1","0","7","3","222","6.1","62","0.4"
"09/24/2022","51.6","65.8","37.4","0","14","12","429","1.6","59.1","0.3"
"09/25/2022","57.6","65.5","49.8","0.19","17","11","154","1.9","60","0.4"
"09/26/2022","58.5","64.6","52.5","0.2","11","7","319","3.6","60.6","0.4"
"09/27/2022","55.2","60.1","50.2","0.16","8","0","166","2.7","60.1","0.4"
"09/28/2022","54.7","58.3","51.1","0.23","13","8","123","3.1","59.8","0.4"
"09/29/2022","49.2","57.6","40.8","0","7","9","333","3.5","59.3","0.4"
"09/30/2022","46.4","58.6","34.2","0","15","15","322","1.3","56.9","0.4"
"10/01/2022","56.6","67.8","45.5","0","12","10","328","2.3","57.2","0.3"
"10/02/2022","52.4","61","43.7","0","7","4","304","3.8","57.8","0.3"
"10/03/2022","47.0","54.7","39.2","0","15","11","272","2.3","56.3","0.3"
"10/04/2022","49.5","55.2","43.7","0.09","17","10","132","1.8","55.6","0.3"
"10/05/2022","54.1","67.5","40.8","0","12","5","407","2.1","55.6","0.3"
"10/06/2022","59.3","76.5","42.1","0","14","11","329","1","55.7","0.3"
"10/07/2022","52.7","59.4","46","0","13","4","82","4","56.9","0.3"
"10/08/2022","46.8","51.8","41.7","0","7","0","253","3.9","55.1","0.3"
"10/09/2022","49.3","57.9","40.6","0","2","0","237","2.9","53.9","0.3"
"10/10/2022","50.4","60.3","40.5","0","7","2","276","1.9","54.4","0.3"
"10/11/2022","54.3","72.7","35.8","0","10","10","349","2.1","53.3","0.3"
"10/12/2022","58.2","67.5","48.9","0","0","0","279","3.6","54","0.3"
"10/13/2022","55.2","61.7","48.7","0.6","18","17","59","3.3","55.6","0.3"
"10/14/2022","50.0","62.1","37.9","0.11","11","11","316","1.7","54.6","0.4"
"10/15/2022","54.8","68","41.5","0","2","0","304","3.9","53.5","0.3"
"10/16/2022","48.5","62.8","34.3","0","11","9","320","1.1","52.3","0.3"
"10/17/2022","51.2","57.4","45","0","2","0","102","3","52.4","0.3"
"10/18/2022","43.9","50.9","36.9","0","0","0","188","3.8","51.1","0.3"
"10/19/2022","39.5","45.3","33.6","0","5","0","154","4.2","49.8","0.3"
"10/20/2022","42.5","46.8","38.3","0","2","0","130","4.4","49.2","0.3"
"10/21/2022","48.6","63","34.2","0","0","0","340","2.9","48.5","0.3"
"10/22/2022","58.5","71.8","45.3","0","0","0","340","2.5","49.2","0.3"
"10/23/2022","54.4","70.2","38.5","0","5","0","323","1.8","49.6","0.3"
"10/24/2022","60.1","68.5","51.8","0.04","11","11","217","1.3","51.9","0.3"
"10/25/2022","64.7","70.9","58.5","0","7","11","163","2.3","54.1","0.3"
"10/26/2022","64.2","71.4","57","0.01","11","6","175","3.3","55.2","0.3"
"10/27/2022","45.2","56.8","33.6","0","6","1","202","5.8","53.9","0.3"
"10/28/2022","43.5","59","28","0","12","12","284","1.6","49.8","0.3"
"10/29/2022","47.6","65.1","30.2","0","9","0","330","2.4","48.2","0.3"
"10/30/2022","47.5","65.8","29.3","0","8","0","320","2.1","47.1","0.3"
"10/31/2022","53.5","61.7","45.3","0","7","0","162","2.2","48.7","0.3"
"11/01/2022","57.5","63.5","51.4","0.02","21","14","92","1.1","51","0.3"
"11/02/2022","51.8","61.9","41.7","0","17","17","200","1.6","51.1","0.3"
"11/03/2022","53.3","69.8","36.9","0","11","10","293","2.3","49.9","0.3"
"11/04/2022","61.7","72.3","51.1","0","0","0","281","3.6","50.6","0.3"
"11/05/2022","65.8","71.8","59.9","0","0","0","159","5.4","52.9","0.3"
"11/06/2022","67.8","77.2","58.3","0.04","10","3","153","6","55.9","0.2"
"11/07/2022","53.8","64.2","43.3","0.01","7","6","294","4.9","55.1","0.2"
"11/08/2022","38.0","48.7","27.3","0","2","0","293","4.8","51.2","0.2"
"11/09/2022","40.8","57.6","23.9","0","9","5","286","3.3","47.6","0.2"
"11/10/2022","55.4","68.2","42.6","0","0","0","269","3.6","48.3","0.2"
"11/11/2022","60.3","66.6","54.1","0.58","18","14","42","3","50.8","0.2"
"11/12/2022","53.5","66.6","40.5","2.15","19","18","102","5.1","54.4","0.4"
"11/13/2022","36.5","41.2","31.8","0.14","12","9","82","4.4","50.9","0.4"
"11/14/2022","33.5","35.8","31.1","0","2","0","58","4.4","46.9","0.4"
"11/15/2022","33.6","36.1","31.1","0","6","5","65","1.6","45.6","0.4"
"11/16/2022","36.6","41.5","31.8","0.3","11","12","62","3.5","44.9","0.4"
"11/17/2022","33.4","36.1","30.7","0.02","4","2","108","4.8","44.2","0.4"
"11/18/2022","33.0","37.4","28.6","0","0","0","123","5.4","42.9","0.4"
"11/19/2022","27.8","33.4","22.1","0","0","0","183","4.3","41","0.4"
"11/20/2022","25.9","30.2","21.6","0","0","3","162","8.6","39.2","0.4"
"11/21/2022","30.8","39.2","22.3","0","0","0","115","4.2","37.7","0.4"
"11/22/2022","37.4","48.4","26.4","0","0","0","218","3.1","38.6","0.4"
"11/23/2022","36.0","46","26.1","0","3","0","226","2.4","39.5","0.4"
"11/24/2022","40.1","55.9","24.3","0","9","4","209","2.5","38.8","0.4"
"11/25/2022","42.0","46","38.1","0.07","11","1","34","6.1","40.7","0.4"
"11/26/2022","44.8","56.8","32.7","0","0","0","236","3.4","40.9","0.4"
"11/27/2022","42.9","48.4","37.4","0.62","13","9","37","2.8","41","0.4"
"11/28/2022","41.2","49.5","32.9","0","21","17","20","6.3","41.9","0.4"
"11/29/2022","37.6","42.3","32.9","0","0","0","101","3","41.1","0.4"
"11/30/2022","40.9","48.7","33.1","0.24","7","3","27","7.6","41.4","0.4"
"12/01/2022","31.6","36","27.1","0","0","0","146","8","39.7","0.4"
"12/02/2022","30.8","39.4","22.1","0","2","0","97","3.5","37.9","0.4"
"12/03/2022","43.3","50","36.5","0.14","10","1","46","6.3","39.4","0.4"
"12/04/2022","33.5","38.3","28.8","0","0","0","124","3.7","39.1","0.4"
"12/05/2022","35.8","43.7","27.9","0","0","0","155","3.3","37.6","0.4"
"12/06/2022","43.5","49.6","37.4","0.11","15","14","27","2.8","38.7","0.4"
"12/07/2022","47.0","51.1","42.8","0.66","24","24","19","2.4","41.6","0.4"
"12/08/2022","39.0","42.6","35.4","0.01","12","12","47","4.7","42.2","0.4"
"12/09/2022","28.8","34.9","22.6","0","5","7","54","3.4","40.5","0.4"
"12/10/2022","30.0","40.1","19.9","0","20","17","186","1.4","38","0.4"
"12/11/2022","33.3","34.5","32","0.14","13","15","27","3.4","37.7","0.4"
"12/12/2022","25.5","31.8","19.2","0","24","13","43","5","37.4","0.4"
"12/13/2022","20.8","31.3","10.2","0","17","9","196","2.5","35.7","0.4"
"12/14/2022","22.4","27.9","16.9","0","13","4","176","3.9","35","0.4"
"12/15/2022","25.5","34.7","16.3","0.1","21","14","21","2.8","34.6","0.4"
"12/16/2022","35.5","39","32","1.1","23","24","68","0.7","34.5","0.4"
"12/17/2022","31.9","34.5","29.3","0.02","11","13","45","1.7","34.6","0.4"
"12/18/2022","28.8","32.2","25.3","0","0","0","63","3.4","35","0.4"
"12/19/2022","30.0","31.1","28.8","0","0","0","70","6.5","35.1","0.4"
"12/20/2022","24.8","29.1","20.5","0","9","2","57","3.5","34.9","0.4"
"12/21/2022","30.6","43.5","17.8","0.01","10","5","203","1.6","34.6","0.4"
"12/22/2022","33.5","41.4","25.7","0.49","12","12","45","3.8","34.5","0.4"
"12/23/2022","22.1","44.1","0.1","0.73","14","20","29","8.3","34.7","0.4"
"12/24/2022","5.5","10.4","0.5","0","0","1","117","8.5","34","0.4"
"12/25/2022","15.0","21","9","0","0","0","186","9.4","33.7","0.4"
"12/26/2022","16.7","21.9","11.5","0","0","0","166","2.5","33.5","0.4"
"12/27/2022","23.1","25.7","20.5","0","0","0","57","2.8","33.4","0.4"
"12/28/2022","34.8","44.2","25.3","0","0","0","147","2.8","33.4","0.4"
"12/29/2022","45.7","55.8","35.6","0","0","0","189","3.1","33.4","0.4"
"12/30/2022","53.8","61.7","45.9","0","0","0","151","2.3","33.5","0.4"
"12/31/2022","49.8","52.5","47.1","0.01","7","5","35","2.2","34.3","0.4"
"01/01/2023","44.9","51.1","38.7","0","5","6","76","3.3","36.3","0.4"
"01/02/2023","39.5","47.8","31.1","0","5","5","112","1.7","37.6","0.4"
"01/03/2023","42.8","52.7","32.9","0.46","24","24","30","0.7","38.2","0.4"
"01/04/2023","49.1","57.9","40.3","0.15","22","24","60","1","40.1","0.4"
"01/05/2023","45.3","56.7","33.8","0.08","8","7","172","2.8","41.3","0.4"
"01/06/2023","35.3","37.4","33.3","0.15","17","15","40","1.7","39.7","0.4"
"01/07/2023","32.9","35.1","30.7","0.01","12","9","27","3.8","38.6","0.4"
"01/08/2023","32.1","37.6","26.6","0","0","0","143","2.6","36.9","0.4"
"01/09/2023","33.5","39.9","27","0","0","6","170","4","35.9","0.4"
"01/10/2023","30.5","33.3","27.7","0","12","11","32","4.3","36","0.4"
"01/11/2023","32.7","39.7","25.7","0","0","0","125","2.6","35.8","0.4"
"01/12/2023","39.5","44.8","34.2","0.24","13","11","31","4.5","36.6","0.4"
"01/13/2023","34.9","45","24.8","0.54","24","24","40","6.5","37.3","0.4"
"01/14/2023","21.2","23.9","18.5","0","24","23","71","7.1","35.1","0.4"
"01/15/2023","22.0","24.3","19.6","0","24","20","91","6.2","34.3","0.4"
"01/16/2023","26.3","32.7","19.8","0.03","24","13","189","3.9","33.9","0.4"
"01/17/2023","29.3","39.9","18.7","0.04","22","13","44","2.1","33.7","0.4"
"01/18/2023","38.9","41.5","36.3","0.05","21","10","31","5.1","33.6","0.4"
"01/19/2023","37.0","40.1","34","0.75","20","24","16","2.9","34.2","0.4"
"01/20/2023","35.7","41.4","30","0.11","21","19","30","5.2","35.6","0.4"
"01/21/2023","30.5","31.5","29.5","0.01","15","10","61","3.6","35.1","0.4"
"01/22/2023","33.3","36.1","30.4","0.04","7","7","79","2.5","34.9","0.4"
"01/23/2023","30.4","32","28.9","0","15","20","28","2.6","35.2","0.4"
"01/24/2023","31.0","33.3","28.8","0","3","1","42","4","35.2","0.4"
"01/25/2023","30.5","37.6","23.4","0.28","13","17","46","4.3","35.3","0.4"
"01/26/2023","33.0","39","27.1","0.04","7","5","49","6.7","35.4","0.4"
"01/27/2023","30.6","36.1","25","0","2","9","103","2.6","35.3","0.4"
